"projectID";"topic";"title"
"101116741";"ERC-2023-STG";"ERC STARTING GRANTS"
"101163161";"ERC-2024-SyG";"ERC SYNERGY GRANTS"
"101160499";"ERC-2024-STG";"ERC STARTING GRANTS"
"101166905";"ERC-2024-SyG";"ERC SYNERGY GRANTS"
"101162875";"ERC-2024-STG";"ERC STARTING GRANTS"
"101167314";"ERC-2024-SyG";"ERC SYNERGY GRANTS"
"101165261";"ERC-2024-STG";"ERC STARTING GRANTS"
"101072693";"EURATOM-2021-UKRAINE-TRAINING-INFO-IBA";"Training and information actions to integrate Ukrainian research entities into European nuclear research networks"
"101172406";"EURATOM-2023-EURADWASTE-IBA";"FISA 2025 – EURADWASTE’25 conferences on Euratom fission research and training (Presidency event)"
"101114128";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114412";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114020";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114248";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101052410";"HORIZON-WIDERA-2021-EUCYS-IBA";"European Union Contest for Young Scientists (EUCYS) 2022"
"101172981";"HORIZON-WIDERA-2024-EUCYS-IBA";"European Union Contest for Young Scientists (EUCYS) 2024"
"101157697";"HORIZON-WIDERA-2023-ERA-GIB-02";"Support to the further operation of cOAlition S"
"101146726";"HORIZON-WIDERA-2023-ESOF-IBA";"European Science in the City next generation"
"101124648";"HORIZON-WIDERA-2023-RESAVER-IBA";"Support to Retirement Savings Vehicle for European Research Institutions and research performing individuals (RESAVER)"
"101146604";"HORIZON-WIDERA-2023-EU-CECR-IBA";"European Union Contest for early-career researchers"
"101054755";"HORIZON-WIDERA-2021-ERA-IBA";"Support the Slovenian Presidency for the organization of an ERA Conference"
"101131799";"HORIZON-WIDERA-2023-ERA-01-03";"Experimentation and exchange of good practices for value creation"
"101052247";"HORIZON-WIDERA-2021-ESOF-IBA";"The EuroScience Open Forum (ESOF) and European City of Science 2022 actions"
"101056649";"HORIZON-WIDERA-2021-RESAVER-IBA";"Support to RESAVER Pension Fund"
"101123904";"HORIZON-WIDERA-2023-EUCYS-IBA";"European Union Contest for Young Scientists (EUCYS) 2023"
"101113277";"HORIZON-EIT-2023-24-KIC-EITCLIMATEKIC";"EIT Climate-KIC Business Plan 2023-2024"
"101113201";"HORIZON-EIT-2023-25-Cross-KIC-Strategic-Outreach";"EIT Cross-KIC Strategic Outreach"
"101113245";"HORIZON-EIT-2023-24-KIC-EITDIGITAL";"EIT Digital Business Plan 2023-2024"
"101071749";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071876";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113634";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101177609";"HORIZON-INFRA-2024-BE-CONF-ART195-IBA";"Belgian Presidency conference on research infrastructures"
"101114214";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101148217";"HORIZON-INFRA-2023-EOSC-MONIT-IBA";"Implementation of the EOSC monitoring mechanism"
"101114169";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071680";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
