"projectID";"topic";"title"
"870232";"IBA-SWAFS-EURAXESS-GE-2019";"EURAXESS Georgia start-up"
"674923";"SCIENCE WAF SOCIETY";"SCIENCE WAF SOCIETY"
"713988";"SCIENCE WAF SOCIETY";"SCIENCE WAF SOCIETY"
"847673";"IBA-LEIT-NMBP-EuroNanoForum-2018";"Presidency event (conference) in Romania: EuroNanoForum 2019"
"101016460";"IBA-SwafS-Support-1-2020";"Support for the Research and Innovation Dimension of European Universities (Part I)"
"870217";"IBA-SWAFS-EURAXESS-AM-2019";"EURAXESS Armenia start-up"
"101035816";"IBA-SwafS-Support-2-2020";"Support for the Research and Innovation Dimension of European Universities (Part II)"
"674832";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"831321";"H2020EENSGA3";"EEN H2020 SGA3"
"826027";"IBA-EURATOM-FISA-2018";"Support to the FISA-EuradWaste Conference on Euratom research and training policies"
"743761";"H2020-SGA2-EEN";"H2020 2D CONSULTATION EEN"
"953360";"IBA-SWFS-EUCYS-2020";"EUCYS 2020"
"822257";"IBA-EURATOM-Ukraine-2018";"Training and information programme following association of Ukraine in Euratom in 2016"
"867453";"WF-01-2018";"Widening Fellowships"
"872499";"SwafS-09-2018-2019-2020";"Supporting research organisations to implement gender equality plans"
"810701";"WIDESPREAD-03-2017";"ERA Chairs"
"812065";"EIC-SMEInst-2018-2020";"SME instrument"
"101000020";"IBA-SC6-Croatia-Presidency-2019";"Presidency events- Croatia"
"831250";"H2020EENSGA3";"EEN H2020 SGA3"
"743490";"H2020-SGA2-EEN";"H2020 2D CONSULTATION EEN"
"831235";"H2020EENSGA3";"EEN H2020 SGA3"
"674866";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"880002";"H2020-EEN-SGA4";"H2020 ENTREPRISE EUROPE NETWORK SGA4 2020-2021"
"879557";"H2020-EEN-SGA4";"H2020 ENTREPRISE EUROPE NETWORK SGA4 2020-2021"
"770686";"H2020-EEN-SGA2-2017-1";"EEN H2020 SGA2 2D BATCH"
"743736";"H2020-SGA2-EEN";"H2020 2D CONSULTATION EEN"
"831319";"H2020EENSGA3";"EEN H2020 SGA3"
"879838";"H2020-EEN-SGA4";"H2020 ENTREPRISE EUROPE NETWORK SGA4 2020-2021"
"674828";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"643282";"INNOSUP";"INNOSUP"
"870485";"LC-SPACE-14-TEC-2018-2019";"Earth observation technologies"
"781638";"IBA-SWFS-ESOF-2017";"The Euroscience Open Forum (ESOF) 2018"
"101006203";"SwafS-26-2020";"Innovators of the future: bridging the gender gap"
"101004206";"SPACE-10-TEC-2018-2020";"Technologies for European non-dependence and competitiveness"
"831208";"H2020EENSGA3";"EEN H2020 SGA3"
"879110";"H2020-EEN-SGA4";"H2020 ENTREPRISE EUROPE NETWORK SGA4 2020-2021"
"741617";"H2020-SGA2-EEN";"H2020 2D CONSULTATION EEN"
"776379";"GALILEO-1-2017";"EGNSS Transport applications"
"674805";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"887644";"EIC-SMEInst-2018-2020";"SME instrument"
"864004";"EIC-SMEInst-2018-2020";"SME instrument"
"816580";"EIC-SMEInst-2018-2020";"SME instrument"
"672664";"INNOVATION";"Enhancing the innovation management capacity of SMEs"
"828436";"EIC-SMEInst-2018-2020";"SME instrument"
"836144";"EIC-SMEInst-2018-2020";"SME instrument"
"816414";"EIC-SMEInst-2018-2020";"SME instrument"
