,AE,AF,AI,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BH,BI,BJ,BO,BQ,BR,BW,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DO,DZ,EC,EE,EG,EL,ES,ET,FI,FO,FR,GA,GD,GE,GH,GI,GL,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LB,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SL,SN,SR,SX,SZ,TD,TG,TH,TJ,TM,TN,TR,TW,TZ,UA,UG,UK,US,UY,UZ,VG,VN,WF,XK,YE,ZA,ZM,ZW,ZZ
AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,7,0,0,19,4,5,13,0,32,0,22,0,0,0,0,0,0,0,4,0,1,0,0,13,0,0,0,0,0,0,0,0,19,13,32,0,15,0,0,0,14,2,28,32,0,10,2,32,0,0,7,0,0,0,0,0,0,16,19,0,18,17,0,1,0,5,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,11,12,0,2,0,10,12,0,0,17,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0,0,0,18,0,20,0,0,24,19,2,0,0,0,0,13,0,15,12,0,1,0,0,0,0,0,0,0,0,2,11,0,0,7,0,25,2,0,0,0,0,0,5,0,1,0,0,0
AM,0,0,0,7,0,0,1,12,0,6,4,0,12,0,14,0,0,0,0,0,0,0,7,0,1,0,0,8,0,0,0,1,0,0,0,0,10,11,16,0,6,0,0,0,8,1,17,11,0,1,0,16,0,0,14,0,0,0,1,0,0,10,12,0,9,11,0,0,0,2,12,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,8,11,9,0,1,0,11,7,0,0,8,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,15,0,13,0,0,13,9,1,0,0,0,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,1,7,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0
AO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AR,0,0,0,0,1,0,0,20,3,0,0,0,37,1,7,0,0,0,1,0,16,1,2,0,7,0,1,15,0,12,1,7,6,2,0,1,6,15,47,0,15,0,0,2,8,3,12,55,2,12,0,47,1,0,2,1,1,0,2,0,0,7,9,1,16,9,5,0,1,7,38,0,2,1,1,1,0,0,2,0,0,1,0,0,0,0,4,4,8,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,2,0,30,14,0,2,0,1,7,0,0,0,20,0,23,1,0,14,2,3,0,0,0,0,16,0,10,5,0,0,0,0,0,0,0,2,0,0,1,11,1,0,1,0,35,9,5,0,0,1,0,0,0,9,0,0,0
AT,0,1,0,19,12,0,20,0,33,9,28,3,1219,4,251,0,0,1,1,0,22,5,11,0,56,0,0,759,2,12,3,45,13,2,1,0,197,505,2046,1,583,0,2,5,210,16,772,1587,11,569,6,1421,0,0,20,10,1,5,2,7,0,254,384,7,482,247,15,2,1,66,1534,1,2,7,27,15,3,0,16,0,1,4,1,2,0,0,196,176,186,0,9,0,27,15,2,0,39,1,0,0,0,68,0,0,1,3,5,4,1,1,5,0,1224,493,2,8,0,0,4,0,3,4,589,1,593,0,0,360,145,21,2,0,0,1,818,3,366,225,0,9,0,0,0,0,3,9,1,0,12,233,16,5,63,9,1395,106,8,1,0,4,1,5,0,44,3,2,0
AU,0,0,0,4,0,0,3,33,0,1,1,1,50,0,15,0,0,0,0,0,5,0,0,0,19,0,0,45,0,0,1,13,1,0,0,0,8,16,90,0,37,0,0,1,5,0,34,67,0,29,0,74,0,0,1,1,0,0,0,4,0,10,15,2,26,8,2,0,0,7,73,0,0,0,5,2,0,0,4,0,0,0,0,1,0,0,9,3,2,0,1,0,0,1,1,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,77,32,0,7,0,0,0,0,0,1,32,0,25,0,0,10,5,7,0,0,0,0,45,1,10,12,0,1,0,0,0,0,0,2,0,0,0,5,1,0,5,0,88,42,0,0,0,1,0,2,0,17,0,0,0
AZ,0,0,0,5,6,0,0,9,1,0,0,0,11,0,6,0,0,0,0,0,0,0,5,0,1,0,0,6,0,0,0,0,0,0,0,0,5,5,10,0,5,0,0,0,4,0,11,6,0,1,0,13,0,0,6,0,0,0,0,0,0,4,6,0,6,6,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,1,0,6,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,1,0,0,0,6,0,6,0,0,7,5,2,0,0,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,1,7,0,0,7,0,7,0,0,0,0,0,0,0,0,2,0,0,0
