country,AE,AF,AI,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BD,BE,BF,BG,BH,BI,BJ,BO,BQ,BR,BW,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DO,DZ,EC,EE,EG,EL,ES,ET,FI,FO,FR,GA,GD,GE,GH,GI,GL,GM,GN,GT,GW,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LB,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SL,SN,SR,SX,SZ,TD,TG,TH,TJ,TM,TN,TR,TW,TZ,UA,UG,UK,US,UY,UZ,VE,VG,VN,WF,XK,YE,ZA,ZM,ZW,ZZ
AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,11,0,0,30,4,1,7,20,0,49,0,33,0,0,0,0,1,0,0,4,0,1,0,0,14,0,0,0,0,0,0,0,0,29,26,53,0,25,0,0,0,22,2,46,58,0,16,4,48,0,0,12,0,0,0,0,0,0,0,0,0,29,0,30,0,29,24,0,1,0,10,56,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,19,19,0,4,0,21,17,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,39,17,0,0,0,0,0,0,0,0,0,29,0,35,0,0,40,33,2,0,0,0,0,17,0,28,22,0,1,0,0,0,0,0,0,0,0,5,21,0,0,14,0,27,3,0,0,0,0,0,0,8,0,1,0,0,0
AM,0,0,0,11,0,0,1,19,0,0,8,6,0,20,0,19,0,0,0,0,0,0,0,7,0,1,0,0,8,0,0,0,1,0,0,0,0,17,19,28,0,11,0,0,0,14,1,31,22,0,3,1,24,0,0,20,0,0,0,0,0,1,0,0,0,15,0,19,0,14,16,0,0,0,6,26,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,14,15,16,0,2,0,17,10,0,0,12,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,25,0,21,0,0,21,15,1,0,0,0,0,6,0,14,17,0,0,0,0,0,0,0,0,0,0,4,14,0,0,14,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0
AO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AR,0,0,0,0,1,0,0,23,3,0,0,0,0,43,1,7,0,0,0,1,0,18,1,2,0,7,0,1,15,0,13,1,7,6,4,0,1,7,16,52,0,17,0,0,2,9,4,17,64,2,13,0,51,1,0,2,1,1,0,0,0,2,0,0,0,9,0,12,1,18,12,5,0,1,7,46,0,2,1,2,1,0,0,2,0,0,1,0,0,0,0,4,4,8,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,1,0,2,0,33,16,0,2,0,1,8,0,0,0,0,23,0,26,1,0,14,2,3,0,0,0,0,21,0,13,5,0,0,0,0,0,0,0,2,0,0,1,12,1,0,1,0,37,11,5,0,0,0,1,0,0,0,10,0,0,0
AT,0,1,0,30,19,0,23,0,35,0,11,42,7,1955,5,382,0,0,2,1,1,26,5,11,0,61,2,0,794,2,13,6,46,18,5,1,1,350,789,3166,1,918,0,3,5,352,22,1330,2497,13,933,8,2197,1,0,36,12,1,7,0,2,3,0,7,0,382,0,570,7,747,347,19,3,2,101,2478,1,2,7,30,25,3,0,18,0,1,9,1,2,0,0,315,275,284,0,16,0,49,23,2,0,60,2,0,0,0,104,1,0,2,3,5,6,2,1,7,1,1955,774,2,16,0,0,7,1,0,5,5,955,1,956,0,0,594,231,21,3,0,0,1,1208,3,596,345,0,13,1,0,0,0,3,13,1,0,21,383,16,8,122,12,1517,138,8,2,0,0,7,1,9,0,67,4,3,0
AU,0,0,0,4,0,0,3,35,0,0,1,1,2,54,1,16,0,0,0,0,0,6,0,0,0,19,0,0,47,0,0,1,13,1,0,0,0,10,18,99,0,40,0,0,1,6,0,36,72,0,31,0,80,0,0,1,1,0,0,0,0,0,0,4,0,10,0,18,2,28,10,2,0,0,7,78,0,0,0,6,3,0,0,4,0,0,1,0,1,0,0,10,3,3,0,1,0,0,1,1,0,2,1,0,0,0,2,0,0,0,1,1,0,1,0,1,0,82,36,0,8,0,0,0,0,0,0,1,33,0,30,0,0,10,6,7,0,0,0,0,48,1,11,13,0,2,0,0,0,0,0,3,0,0,0,5,1,0,5,0,91,43,0,0,0,0,1,0,2,0,20,0,0,0
AW,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
