projectID,total_citations,ecContribution,country,category,years_since_publication,log_total_citations,log_ecContribution
115797,26505.0,17630000.0,BE,medical and health sciences,7.0,10.185126401440623,16.685112611095548
115842,837.0,3887260.0,IT,medical and health sciences,8.0,6.731018100482083,15.17321535448003
115843,2435.0,4300935.0,SE,medical and health sciences,7.0,7.798112628829788,15.274343231394756
115847,1035.0,20328856.0,UK,medical and health sciences,7.0,6.943122422819428,16.827551961692464
115848,270.0,1162622.0,UK,medical and health sciences,8.0,5.602118820879701,13.966189217298153
115854,9730.0,58336885.0,UK,natural sciences,8.0,9.18307194482199,17.881745144222318
115861,1045.0,22790820.0,FR,natural sciences,4.0,6.952728644624869,16.941868425145177
115881,29950.0,8130000.0,CH,natural sciences,6.0,10.307317991967832,15.911071604525215
115890,78.0,1130000.0,NL,natural sciences,5.0,4.3694478524670215,13.937729075643883
115902,13545.0,11000000.0,UK,natural sciences,7.0,9.51384657977485,16.213405921671733
115910,3000.0,21000000.0,NL,medical and health sciences,6.0,8.006700845440367,16.860033043306743
115916,5955.0,8080000.0,NL,medical and health sciences,6.0,8.6921543938039,15.904902554259646
115924,1185.0,7850000.0,DE,natural sciences,5.0,7.078341579557671,15.876024217147117
115952,7030.0,11999886.0,NL,natural sciences,5.0,8.858084222199162,16.30040779104127
115966,946.0,6000000.0,SE,medical and health sciences,6.0,6.853299093186078,15.607270193858982
115974,18390.0,15085937.0,SE,medical and health sciences,6.0,9.81961669349898,16.52927360961662
115975,2965.0,3510000.0,ES,medical and health sciences,5.0,7.994969522697877,15.071126880342293
115976,22880.0,8838000.0,DE,natural sciences,6.0,10.038062150832348,15.994571277820587
115985,120.0,2043000.0,ES,medical and health sciences,4.0,4.795790545596741,14.5299303632759
116019,3763.0,14498125.0,UK,medical and health sciences,6.0,8.23323750070527,16.489529957659105
116020,1205.0,3998250.0,UK,medical and health sciences,6.0,7.095064377287131,15.201367573462509
116026,2142.0,20200000.0,ES,natural sciences,6.0,7.669961995473577,16.821193211876384
116030,29350.0,8000000.0,UK,medical and health sciences,6.0,10.287081896226075,15.894952224644102
116060,41980.0,4684998.0,UK,medical and health sciences,6.0,10.64497241395799,15.359876260207464
116064,1746.0,7370000.0,DE,medical and health sciences,5.0,7.465655310134056,15.81292839985072
116068,1380.0,8553750.0,IT,medical and health sciences,5.0,7.2305631534092925,15.961880458156626
116072,52.0,1500000.0,IT,medical and health sciences,3.0,3.970291913552122,14.220976332738882
116074,25184.0,9664970.0,NL,social sciences,6.0,10.134003858179751,16.084018670102736
116076,584.0,8025000.0,DE,social sciences,6.0,6.371611847231857,15.898072351590939
116088,15.0,6189570.0,FR,medical and health sciences,2.0,2.772588722239781,15.638376336927873
116106,4388.0,12000000.0,BE,medical and health sciences,6.0,8.386856689688234,16.300417291085605
633098,310.0,5716971.0,NO,agricultural sciences,8.0,5.739792912179234,15.55894985256051
633127,2280.0,2103593.75,ES,natural sciences,8.0,7.732369222284388,14.559158224972592
633152,1205.0,1256375.0,ES,natural sciences,8.0,7.095064377287131,14.043741944267426
633168,906.0,5962096.88,BE,medical and health sciences,8.0,6.810142450115136,15.60093297039502
633172,2488.0,7999097.0,NL,medical and health sciences,8.0,7.819636302367592,15.894839343287352
633184,2391.0,8999996.25,FR,agricultural sciences,7.0,7.779885115070522,16.01273482974489
633190,7155.0,5998994.0,FR,natural sciences,7.0,8.87570644462861,15.607102513162637
633192,1375.0,3157986.0,AT,engineering and technology,7.0,7.226936018493289,14.965445357259803
633196,46245.0,4944773.0,UK,medical and health sciences,8.0,10.741730252713912,15.413841819264517
633211,25173.0,20652921.0,DE,engineering and technology,8.0,10.133566994851451,16.843367368571617
633212,1745.0,5534094.25,UK,natural sciences,6.0,7.465082736399547,15.5264386509626
633338,30.0,3238117.5,LU,social sciences,7.0,3.4339872044851463,14.990503009214684
633413,8225.0,5980435.0,FR,medical and health sciences,7.0,9.015055148790369,15.604004032968028
633428,2525.0,1500000.0,DE,natural sciences,8.0,7.8343923029104365,14.220976332738882
633436,386.0,3138121.88,SE,engineering and technology,7.0,5.958424693029782,14.959135370208243
633464,5550.0,4734594.5,FI,engineering and technology,7.0,8.621733370690162,15.37040685328685
633476,3360.0,2989814.5,UK,agricultural sciences,8.0,8.119993827725105,14.910722237777376
633477,1345.0,4364748.6,NL,engineering and technology,8.0,7.204892510204673,15.289071380203739
633485,296.0,5790111.25,UK,natural sciences,6.0,5.6937321388027,15.571662236235175
633491,42465.0,5981219.5,UK,natural sciences,8.0,10.656459034741738,15.604135202091824
633509,768.0,1221921.0,IL,natural sciences,6.0,6.645090969505644,14.015935586889237
633531,5520.0,8999544.0,FR,medical and health sciences,6.0,8.616314282284044,16.012684578466963
633545,270.0,5997139.0,NL,medical and health sciences,7.0,5.602118820879701,15.606793246883992
633567,1796.0,3108939.48,UK,medical and health sciences,7.0,7.493873886783559,14.949792544438207
633571,620.0,3429908.75,FR,natural sciences,7.0,6.431331081933479,15.048044506842604
633589,8285.0,6573680.5,BE,natural sciences,7.0,9.022322622637347,15.698584583599416
633592,35980.0,2999287.5,AT,medical and health sciences,7.0,10.490746300336754,14.913885651837255
633595,62276.0,5917265.5,FI,natural sciences,8.0,11.039347455230905,15.593385160360645
633635,119.0,4654333.0,IT,engineering and technology,6.0,4.787491742782046,15.353309386491906
633666,23985.0,5999756.0,UK,humanities,7.0,10.085225605791667,15.607229526372182
633680,5785.0,5000000.0,DK,agricultural sciences,7.0,8.66319648553608,15.424948670398354
633692,8365.0,4999993.0,NL,medical and health sciences,7.0,9.031931152002144,15.424947270397654
633724,335.0,2993174.75,FR,medical and health sciences,5.0,5.817111159963204,14.911845505458341
633765,1430.0,5998786.0,ES,medical and health sciences,8.0,7.266128779556451,15.607067840087227
633776,905.0,5708000.0,UK,engineering and technology,8.0,6.80903930604298,15.55737943277156
633780,1645.0,4721198.5,DE,natural sciences,7.0,7.406103381237015,15.367573456631767
633784,38975.0,5983356.25,NL,medical and health sciences,6.0,10.57070135106957,15.604492381436948
633814,165.0,2977525.0,UK,social sciences,5.0,5.111987788356544,14.906603312331317
