country,ecContribution,netEcContribution
AE,500000.0,500000.0
AF,134276.14,134276.14
AI,1253137.26,1253137.26
AL,12551882.61,12756257.61
AM,11165054.2,11165927.45
AO,143000.0,143000.0
AR,10264626.48,10323129.81
AT,3347336645.51,3347248211.95
AU,19200788.95,20112426.08
AW,438125.0,438125.0
AZ,703737.2,703737.2
BA,17523112.12,17619741.169999998
BD,5932514.27,6094214.27
BE,6809984189.22,6713392382.04
BF,17392105.12,17392105.12
BG,322442516.52,323827376.35
BH,0.0,0.0
BI,1556773.33,1556773.33
BJ,5208497.63,5208497.63
BO,533430.0,533430.0
BQ,491375.0,184500.0
BR,17581817.4,17597721.4
BW,3488074.84,3488074.84
BY,2634142.36,2634142.36
BZ,20000.0,20000.0
CA,26124131.92,26964644.42
CD,18518721.92,18518721.92
CG,3348303.81,3348303.81
CH,2527213869.79,2529529188.04
CI,6974830.63,7052330.63
CL,10923796.74,11169409.24
CM,6626097.71,6626097.71
CN,5640499.35,5673596.85
CO,14303405.08,14213092.58
CR,2953343.38,2953343.38
CU,1012383.97,1012383.97
CV,3051218.16,3117849.41
CY,618146837.78,616130950.84
CZ,984501669.37,1001798887.51
DE,17230724879.77,17237446915.24
DJ,166839.5,166839.5
DK,3016642061.57,3011100372.37
DO,253075.0,253075.0
DZ,2077347.78,2077347.78
EC,4011216.0700000003,4011216.0700000003
EE,529509150.53,529539988.75
EG,9355811.58,9460560.33
EL,3393878954.55,3403678841.6
ES,10896410135.42,10910128343.4
ET,20777130.08,20777130.08
FI,2780167577.7,2781268959.76
FO,8373211.91,8530148.11
FR,12510844864.8,12410313180.64
GA,6164938.68,6164938.68
GD,28132.5,28132.5
GE,14434659.27,14515023.94
GH,30833465.41,30857290.41
GI,2833820.2,2833820.2
GL,5871903.02,5871903.02
GM,543750.0,543750.0
GN,2118586.25,2118586.25
GT,655654.5800000001,655654.5800000001
GW,0.0,0.0
HK,555000.0,555000.0
HN,23925.0,23925.0
HR,268203850.91,272363874.64
HT,190000.0,190000.0
HU,557310776.79,564088799.07
ID,2516416.5,2548166.5
IE,2104014572.27,2094020146.83
IL,2091773591.96,2089181257.03
IN,6388312.89,6549453.39
IQ,808130.86,808130.86
IR,1170809.71,1170809.71
IS,205794291.60999998,205424907.16
IT,9489955380.19,9458024712.21
JE,0.0,0.0
JM,1752557.56,1752557.56
JO,7179616.88,7171616.84
JP,6986550.9399999995,6986550.9399999995
KE,70998379.95,71466818.66
KG,1043207.5,1043207.5
KH,2104669.0,2104669.0
KR,5807894.0,5807894.0
KW,0.0,0.0
KZ,338215.0,379058.91000000003
LB,8751584.82,8751584.82
LI,0.0,0.0
LK,3195880.0,3195880.0
LR,486324.25,678074.25
LS,105846.25,105846.25
LT,250160731.65,250324770.49
LU,402696545.7,400472855.83
LV,214413246.17,214631873.47
LY,100725.0,100725.0
MA,13186228.7,13656353.7
MC,0.0,0.0
MD,13892785.21,13901535.21
ME,9100799.28,9146551.78
MG,6619684.54,6757934.51
MH,4833500.0,4833500.0
MK,24675863.65,26568635.4
ML,7431272.93,7431272.93
MM,50000.0,50000.0
MN,42500.0,42500.0
MR,201593.75,201593.75
MT,83435389.83,82407884.54
MU,2018062.5,1962250.0
MV,190703.75,190703.75
MW,4616202.39,4669827.39
MX,1321116.7,1321116.7
MY,1473677.5699999998,1579056.3199999998
MZ,15198026.74,15235844.24
NC,957161.08,1086013.02
NE,1724360.0,2003612.56
NG,19238362.26,19257874.76
NI,1060176.25,1060176.25
NL,9151372670.26,9137286991.47
NO,3120568679.16,3125287202.48
NP,1927916.25,1927916.25
NZ,9195225.97,9195225.97
OM,0.0,0.0
PA,125606.25,125606.25
PE,4033731.7,4033731.7
PF,217711.89,217711.89
PG,107250.0,107250.0
PH,3344419.63,3344419.63
PK,4478593.4,4478593.4
PL,1374199810.19,1401859070.94
PS,689374.0,689374.0
PT,2137896976.48,2152378852.78
PY,264593.75,264593.75
QA,0.0,0.0
RO,586805841.18,588556439.54
RS,253779473.54,259251712.25
RU,3742445.64,3742445.64
RW,8378646.14,8378646.14
SA,0.0,0.0
SC,79500.0,79500.0
SD,66375.0,110406.25
SE,3778087946.61,3774838654.03
SG,2712870.0,2712870.0
SI,735478257.99,735605430.95
SK,243978888.32,245374230.45
SL,14579695.84,20780846.0
SN,19109176.169999998,19608808.57
SR,360310.0,360310.0
SX,0.0,306875.0
SZ,911278.5,911278.5
TD,256812.5,256812.5
TG,323580.5,323580.5
TH,6453749.54,6477524.54
TJ,387295.5,387295.5
TM,79807.5,79807.5
TN,26082229.62,26307717.12
TR,567542728.39,567497265.35
TW,1349478.3,1349478.3
TZ,30295165.88,30738773.12
UA,115422159.08,115859614.02
UG,34155305.02,34155305.02
UK,8236174034.3,8240078394.81
US,183407425.11,191269636.42
UY,3871893.51,3871893.51
UZ,389626.25,389626.25
VE,62025.0,62025.0
VG,168553.24,168553.24
VN,4067152.75,4101152.75
WF,0.0,0.0
XK,3988996.52,3988996.52
YE,134073.75,134073.75
ZA,122540521.52,123628874.27
ZM,11250670.120000001,11289451.370000001
ZW,4812169.24,4875525.49
ZZ,83577.5,83577.5
